stitch_project_id,stitch_screen_id,stitch_screen_title,stitch_phase,stitch_functional_area,stitch_device,stitch_state,mapping_type,mapping_confidence,implementation_ids,route_paths,view_paths,implementation_states,device_support,canonical_stitch_screen_id,product_difference,missing_requirement,evidence,notes
12272131183982732110,8731b06bbfa747e98e05372c9aafb3e9,Access Restricted,P01,APP_SHELL,DESKTOP,DISABLED,EXACT_IMPLEMENTATION_MATCH,HIGH,ACV7-IMPL-0084,(access-state),views/activeclinic/app/access-state.ejs,DISABLED,DESKTOP|MOBILE,,,,Mapped to ACV7-IMPL-0084 via (access-state) / views/activeclinic/app/access-state.ejs,
12272131183982732110,9f3abb837fc3413aa128949afce0d8c4,Application Shell - Desktop,P01,APP_SHELL,DESKTOP,DEFAULT,MULTIPLE_STITCH_TO_ONE_IMPLEMENTATION,HIGH,ACV7-IMPL-0186|ACV7-IMPL-0087,/app/*|/app,views/activeclinic/layouts/app-shell.ejs|views/activeclinic/app/home-content.ejs,DEFAULT|POPULATED,MOBILE|DESKTOP,,,,"Mapped to ACV7-IMPL-0186, ACV7-IMPL-0087 via /app/* | /app / views/activeclinic/layouts/app-shell.ejs | views/activeclinic/app/home-content.ejs",Shell chrome + home under app-shell
12272131183982732110,c54b0a846c054044aa0ca05194e320ef,Dashboard - Desktop,P01,DASHBOARD,DESKTOP,DEFAULT,DUPLICATE_STITCH_VARIANT,HIGH,ACV7-IMPL-0087,/app,views/activeclinic/app/home-content.ejs,POPULATED,DESKTOP|MOBILE,390032bf54ca44ee851673a4800f9af3,,,Duplicate Stitch iteration; inherits mapping of 390032bf54ca44ee851673a4800f9af3,; Duplicate of P01 – Dashboard – Desktop (dup_006)
12272131183982732110,d19b0d5c33ae42e08ca767a11b12e591,Dashboard - Mobile,P01,DASHBOARD,MOBILE,DEFAULT,DUPLICATE_STITCH_VARIANT,HIGH,ACV7-IMPL-0087,/app,views/activeclinic/app/home-content.ejs,POPULATED,DESKTOP|MOBILE,8be466d48814446ab8bb087baacc6ec9,,,Duplicate Stitch iteration; inherits mapping of 8be466d48814446ab8bb087baacc6ec9,; Duplicate of P01 – Dashboard – Mobile (dup_008)
12272131183982732110,8bf5c500e0d14014944618029212b2c9,Login - Desktop,P01,APP_SHELL,DESKTOP,DEFAULT,DUPLICATE_STITCH_VARIANT,HIGH,ACV7-IMPL-0075,/login,views/activeclinic/auth/login.ejs,DEFAULT,DESKTOP|MOBILE,ca8a34cf1ecb4fefa2ed31fb9873ae45,,,Duplicate Stitch iteration; inherits mapping of ca8a34cf1ecb4fefa2ed31fb9873ae45,; Duplicate of P01 – Login – Desktop (dup_007)
12272131183982732110,6e3cbe4963c3428196b10d3bb27421d5,Login - Mobile,P01,APP_SHELL,MOBILE,DEFAULT,DUPLICATE_STITCH_VARIANT,HIGH,ACV7-IMPL-0075,/login,views/activeclinic/auth/login.ejs,DEFAULT,DESKTOP|MOBILE,026f619c35b04a5c8dde16eca9f7cf35,,,Duplicate Stitch iteration; inherits mapping of 026f619c35b04a5c8dde16eca9f7cf35,; Duplicate of P01 – Login – Mobile (dup_004)
12272131183982732110,87c5a80e0fcb40179c0d1ce7ea906762,Navigation Drawer - Mobile,P01,APP_SHELL,MOBILE,DEFAULT,DUPLICATE_STITCH_VARIANT,HIGH,ACV7-IMPL-0186,/app/*,views/activeclinic/layouts/app-shell.ejs,DEFAULT,MOBILE,9f55cec7eb884dbebc2e01c6fb0fe58e,,,Duplicate Stitch iteration; inherits mapping of 9f55cec7eb884dbebc2e01c6fb0fe58e,; Duplicate of P01 – Navigation Drawer – Mobile (dup_005)
12272131183982732110,390032bf54ca44ee851673a4800f9af3,P01 – Dashboard – Desktop,P01,DASHBOARD,DESKTOP,DEFAULT,MULTIPLE_STITCH_TO_ONE_IMPLEMENTATION,HIGH,ACV7-IMPL-0087,/app,views/activeclinic/app/home-content.ejs,POPULATED,DESKTOP|MOBILE,,,,Mapped to ACV7-IMPL-0087 via /app / views/activeclinic/app/home-content.ejs,
12272131183982732110,8be466d48814446ab8bb087baacc6ec9,P01 – Dashboard – Mobile,P01,DASHBOARD,MOBILE,DEFAULT,MULTIPLE_STITCH_TO_ONE_IMPLEMENTATION,HIGH,ACV7-IMPL-0087,/app,views/activeclinic/app/home-content.ejs,POPULATED,DESKTOP|MOBILE,,,,Mapped to ACV7-IMPL-0087 via /app / views/activeclinic/app/home-content.ejs,
12272131183982732110,ca8a34cf1ecb4fefa2ed31fb9873ae45,P01 – Login – Desktop,P01,APP_SHELL,DESKTOP,DEFAULT,MULTIPLE_STITCH_TO_ONE_IMPLEMENTATION,HIGH,ACV7-IMPL-0075,/login,views/activeclinic/auth/login.ejs,DEFAULT,DESKTOP|MOBILE,,,,Mapped to ACV7-IMPL-0075 via /login / views/activeclinic/auth/login.ejs,
12272131183982732110,026f619c35b04a5c8dde16eca9f7cf35,P01 – Login – Mobile,P01,APP_SHELL,MOBILE,DEFAULT,MULTIPLE_STITCH_TO_ONE_IMPLEMENTATION,HIGH,ACV7-IMPL-0075,/login,views/activeclinic/auth/login.ejs,DEFAULT,DESKTOP|MOBILE,,,,Mapped to ACV7-IMPL-0075 via /login / views/activeclinic/auth/login.ejs,
12272131183982732110,9f55cec7eb884dbebc2e01c6fb0fe58e,P01 – Navigation Drawer – Mobile,P01,APP_SHELL,MOBILE,DEFAULT,MULTIPLE_STITCH_TO_ONE_IMPLEMENTATION,HIGH,ACV7-IMPL-0186,/app/*,views/activeclinic/layouts/app-shell.ejs,DEFAULT,MOBILE,,,,Mapped to ACV7-IMPL-0186 via /app/* / views/activeclinic/layouts/app-shell.ejs,
12272131183982732110,01b9125044634434b60223746b815b25,P01 – Shared Application Shell – Desktop,P01,APP_SHELL,DESKTOP,DEFAULT,MULTIPLE_STITCH_TO_ONE_IMPLEMENTATION,HIGH,ACV7-IMPL-0186|ACV7-IMPL-0087,/app/*|/app,views/activeclinic/layouts/app-shell.ejs|views/activeclinic/app/home-content.ejs,DEFAULT|POPULATED,MOBILE|DESKTOP,,,,"Mapped to ACV7-IMPL-0186, ACV7-IMPL-0087 via /app/* | /app / views/activeclinic/layouts/app-shell.ejs | views/activeclinic/app/home-content.ejs",Shell chrome + home under app-shell
12272131183982732110,9b881d25874c41f9986246c61de32f41,P01 – Shared States – Desktop,P01,APP_SHELL,DESKTOP,OTHER,ONE_STITCH_TO_MULTIPLE_IMPLEMENTATIONS,MEDIUM,ACV7-IMPL-0084|ACV7-IMPL-0085|ACV7-IMPL-0086|ACV7-IMPL-0083,(access-state)|/app/offline,views/activeclinic/app/access-state.ejs,DISABLED|NOT_FOUND|OTHER,DESKTOP|MOBILE,,,,"Mapped to ACV7-IMPL-0084, ACV7-IMPL-0085, ACV7-IMPL-0086, ACV7-IMPL-0083 via (access-state) | /app/offline / views/activeclinic/app/access-state.ejs",Composite Stitch state board maps to access-state taxonomy pages
12272131183982732110,91e41fecc2b64496893b52317b7ab985,P02 – Duplicate Patient Warning,P02,PATIENTS,DESKTOP,OTHER,PARTIAL_IMPLEMENTATION,HIGH,ACV7-IMPL-0093,/app/patients/new,views/activeclinic/app/patient-form-content.ejs,DEFAULT,DESKTOP|MOBILE,,,Duplicate warning exists in registration service flow but no dedicated Stitch-parity modal screen row,Mapped to ACV7-IMPL-0093 via /app/patients/new / views/activeclinic/app/patient-form-content.ejs,
